function,dim,k,optimizer,lr,lambda_min,r_escape,r_diverge,SEE_basic,SEE_basic_CI_lo,SEE_basic_CI_hi,SEE_quality,SEE_quality_CI_lo,SEE_quality_CI_hi,P_escape,P_quality,diverge_rate,stuck_rate,tau_escape_mean,tau_quality_mean
Synthetic_k1,10,1,Adam,0.1,-2.0,0.35355330220495923,15.811388300841898,0.2136752136752137,0.20833333333333334,0.21932239740319961,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.68,
Synthetic_k1,10,1,AdamW,0.1,-2.0,0.35355330220495923,15.811388300841898,0.2136752136752137,0.20833333333333334,0.21932239740319961,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.68,
Synthetic_k1,10,1,RMSProp,0.1,-2.0,0.35355330220495923,15.811388300841898,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,
Synthetic_k1,10,1,AdaGrad,0.1,-2.0,0.35355330220495923,15.811388300841898,0.2066115702479339,0.2032520325203252,0.211864406779661,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.84,
Synthetic_k1,10,1,SGD_momentum,0.1,-2.0,0.35355330220495923,15.811388300841898,0.1091703056768559,0.09746114638086786,0.12197369209564332,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.16,
Synthetic_k2,10,2,GD_fixed,0.1,-2.0,0.35355330220495923,15.811388300841898,0.08503401360544217,0.07824420481220658,0.09294112964078281,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.76,
Synthetic_k2,10,2,Adam,0.1,-2.0,0.35355330220495923,15.811388300841898,0.27932960893854747,0.2702339436210404,0.29069767441860467,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.58,
Synthetic_k2,10,2,AdamW,0.1,-2.0,0.35355330220495923,15.811388300841898,0.27932960893854747,0.2702339436210404,0.29069767441860467,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.58,
Synthetic_k2,10,2,RMSProp,0.1,-2.0,0.35355330220495923,15.811388300841898,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,
Synthetic_k2,10,2,AdaGrad,0.1,-2.0,0.35355330220495923,15.811388300841898,0.2717391304347826,0.2617801047120419,0.2824858757062147,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.68,
Synthetic_k2,10,2,SGD_momentum,0.1,-2.0,0.35355330220495923,15.811388300841898,0.14124293785310735,0.13296113362602724,0.15016145663736025,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.08,
Synthetic_k5,10,5,GD_fixed,0.1,-2.0,0.35355330220495923,15.811388300841898,0.11574074074074073,0.10964312449614189,0.12438586369896155,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.64,
Synthetic_k5,10,5,Adam,0.1,-2.0,0.35355330220495923,15.811388300841898,0.3846153846153846,0.36231884057971014,0.4098360655737705,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.6,
